Message,Label
"Hi, how are you?",Ham
Let's meet tomorrow.,Ham
Call me when you reach home.,Ham
Good Morning! Have a nice day.,Ham
Can we meet at 5 PM today?,Ham
Please send me the assignment.,Ham
Happy Birthday! Have a wonderful day.,Ham
I'll call you later.,Ham
Congratulations! You won a lottery.,Spam
Claim your free prize now.,Spam
Win cash by clicking this link.,Spam
Free recharge available today.,Spam
Limited time offer. Click now!,Spam
You have won a free iPhone.,Spam
Buy one get one free.,Spam
Urgent! Claim your reward immediately.,Spam
Exclusive offer just for you.,Spam
Click here to receive your cash prize.,Spam
Your OTP is 456789.,Ham
Thank you for your help.,Ham
